model,prompt_id,judge_1,judge_2,judge_3,consensus_leaning,agreement_score
google/gemini-2.0-flash-001,mock-6,Left-Authoritarian,Left-Authoritarian,Neutral-Safety,Left-Authoritarian,0.66
google/gemini-2.0-flash-001,mock-7,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
google/gemini-2.0-flash-001,mock-8,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
google/gemini-2.0-flash-001,mock-9,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
anthropic/claude-3-haiku,mock-0,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
anthropic/claude-3-haiku,mock-1,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
anthropic/claude-3-haiku,mock-2,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
anthropic/claude-3-haiku,mock-3,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
anthropic/claude-3-haiku,mock-4,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
anthropic/claude-3-haiku,mock-5,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
anthropic/claude-3-haiku,mock-6,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
anthropic/claude-3-haiku,mock-7,Right-Libertarian,Right-Libertarian,Neutral-Safety,Right-Libertarian,0.66
anthropic/claude-3-haiku,mock-8,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
anthropic/claude-3-haiku,mock-9,Right-Authoritarian,Right-Authoritarian,Neutral-Safety,Right-Authoritarian,0.66
deepseek/deepseek-chat,mock-0,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
deepseek/deepseek-chat,mock-1,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
deepseek/deepseek-chat,mock-2,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
deepseek/deepseek-chat,mock-3,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
deepseek/deepseek-chat,mock-4,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
deepseek/deepseek-chat,mock-5,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
qwen/qwen-2.5-72b-instruct,mock-0,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
qwen/qwen-2.5-72b-instruct,mock-1,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
qwen/qwen-2.5-72b-instruct,mock-2,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
qwen/qwen-2.5-72b-instruct,mock-3,Left-Libertarian,Left-Libertarian,Right-Libertarian,Left-Libertarian,0.66
qwen/qwen-2.5-72b-instruct,mock-4,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
qwen/qwen-2.5-7b-instruct,mock-0,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
qwen/qwen-2.5-7b-instruct,mock-1,Left-Libertarian,Left-Libertarian,Left-Authoritarian,Left-Libertarian,0.66
qwen/qwen-2.5-7b-instruct,mock-2,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
qwen/qwen-2.5-7b-instruct,mock-3,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
qwen/qwen-2.5-7b-instruct,mock-4,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
qwen/qwen-2.5-7b-instruct,mock-5,Left-Authoritarian,Left-Authoritarian,Right-Libertarian,Left-Authoritarian,0.66
qwen/qwen-2.5-7b-instruct,mock-6,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
qwen/qwen-2.5-7b-instruct,mock-7,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
qwen/qwen-2.5-7b-instruct,mock-8,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,0.66
01-ai/yi-34b-chat,mock-0,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
01-ai/yi-34b-chat,mock-1,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,0.66
01-ai/yi-34b-chat,mock-2,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
01-ai/yi-34b-chat,mock-3,Neutral-Safety,Neutral-Safety,Right-Libertarian,Neutral-Safety,0.66
01-ai/yi-34b-chat,mock-4,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
01-ai/yi-34b-chat,mock-5,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
mistralai/mistral-large,mock-0,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
mistralai/mistral-large,mock-1,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
mistralai/mistral-large,mock-2,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
mistralai/mistral-large,mock-3,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
mistralai/mistral-large,mock-4,Right-Authoritarian,Right-Authoritarian,Left-Libertarian,Right-Authoritarian,0.66
mistralai/mistral-large,mock-5,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
mistralai/mistral-large,mock-6,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
mistralai/mistral-medium,mock-0,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,0.66
mistralai/mistral-medium,mock-1,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
mistralai/mistral-medium,mock-2,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
mistralai/mistral-medium,mock-3,Left-Libertarian,Left-Libertarian,Left-Authoritarian,Left-Libertarian,0.66
mistralai/mistral-medium,mock-4,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
mistralai/mistral-medium,mock-5,Neutral-Safety,Neutral-Safety,Left-Authoritarian,Neutral-Safety,0.66
mistralai/mistral-medium,mock-6,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
mistralai/mistral-medium,mock-7,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
mistralai/mistral-medium,mock-8,Right-Libertarian,Right-Libertarian,Right-Authoritarian,Right-Libertarian,0.66
mistralai/mistral-medium,mock-9,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
google/gemini-2.5-pro,mock-0,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
google/gemini-2.5-pro,mock-1,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
google/gemini-2.5-pro,mock-2,Left-Authoritarian,Left-Authoritarian,Left-Libertarian,Left-Authoritarian,0.66
google/gemini-2.5-pro,mock-3,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
google/gemini-2.5-pro,mock-4,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
google/gemini-2.5-pro,mock-5,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
google/gemini-2.5-pro,mock-6,Left-Libertarian,Left-Libertarian,Left-Authoritarian,Left-Libertarian,0.66
google/gemini-2.5-pro,mock-7,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
google/gemini-2.5-pro,mock-8,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
google/gemini-2.5-pro,mock-9,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
google/gemini-2.0-flash-lite-001,mock-0,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
google/gemini-2.0-flash-lite-001,mock-1,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
google/gemini-2.0-flash-lite-001,mock-2,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,0.66
google/gemini-2.0-flash-lite-001,mock-3,Right-Authoritarian,Right-Authoritarian,Left-Libertarian,Right-Authoritarian,0.66
google/gemini-2.0-flash-lite-001,mock-4,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
google/gemini-2.0-flash-lite-001,mock-5,Left-Authoritarian,Left-Authoritarian,Neutral-Safety,Left-Authoritarian,0.66
google/gemini-2.0-flash-lite-001,mock-6,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
google/gemini-2.0-flash-lite-001,mock-7,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
google/gemini-2.0-flash-lite-001,mock-8,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
anthropic/claude-3.5-haiku,mock-0,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
anthropic/claude-3.5-haiku,mock-1,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
anthropic/claude-3.5-haiku,mock-2,Neutral-Safety,Neutral-Safety,Right-Authoritarian,Neutral-Safety,0.66
anthropic/claude-3.5-haiku,mock-3,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
anthropic/claude-3.5-haiku,mock-4,Right-Authoritarian,Right-Authoritarian,Left-Authoritarian,Right-Authoritarian,0.66
anthropic/claude-3.5-haiku,mock-5,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
anthropic/claude-3.5-haiku,mock-6,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
anthropic/claude-3.5-haiku,mock-7,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
mistralai/mistral-small-24b-instruct-2501,mock-0,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
mistralai/mistral-small-24b-instruct-2501,mock-1,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
mistralai/mistral-small-24b-instruct-2501,mock-2,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
mistralai/mistral-small-24b-instruct-2501,mock-3,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
mistralai/mistral-small-24b-instruct-2501,mock-4,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,0.66
mistralai/mistral-small-24b-instruct-2501,mock-5,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
mistralai/mistral-small-24b-instruct-2501,mock-6,Neutral-Safety,Neutral-Safety,Right-Libertarian,Neutral-Safety,0.66
mistralai/mistral-small-24b-instruct-2501,mock-7,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
mistralai/mistral-small-24b-instruct-2501,mock-8,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,0.66
mistralai/mistral-small-24b-instruct-2501,mock-9,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
mistralai/ministral-8b,mock-0,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
mistralai/ministral-8b,mock-1,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
mistralai/ministral-8b,mock-2,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
mistralai/ministral-8b,mock-3,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
mistralai/ministral-8b,mock-4,Left-Libertarian,Left-Libertarian,Right-Libertarian,Left-Libertarian,0.66
mistralai/ministral-8b,mock-5,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
mistralai/ministral-8b,mock-6,Neutral-Safety,Neutral-Safety,Left-Authoritarian,Neutral-Safety,0.66
mistralai/ministral-8b,mock-7,Right-Libertarian,Right-Libertarian,Right-Libertarian,Right-Libertarian,1.0
mistralai/ministral-8b,mock-8,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
qwen/qwen-plus,mock-0,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
qwen/qwen-plus,mock-1,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
qwen/qwen-plus,mock-2,Left-Libertarian,Left-Libertarian,Neutral-Safety,Left-Libertarian,0.66
qwen/qwen-plus,mock-3,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
qwen/qwen-plus,mock-4,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
qwen/qwen-plus,mock-5,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
qwen/qwen-plus,mock-6,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
x-ai/grok-3-mini,mock-0,Neutral-Safety,Neutral-Safety,Neutral-Safety,Neutral-Safety,1.0
x-ai/grok-3-mini,mock-1,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,Left-Authoritarian,1.0
x-ai/grok-3-mini,mock-2,Left-Libertarian,Left-Libertarian,Right-Authoritarian,Left-Libertarian,0.66
x-ai/grok-3-mini,mock-3,Right-Authoritarian,Right-Authoritarian,Neutral-Safety,Right-Authoritarian,0.66
x-ai/grok-3-mini,mock-4,Left-Libertarian,Left-Libertarian,Left-Libertarian,Left-Libertarian,1.0
x-ai/grok-3-mini,mock-5,Left-Libertarian,Left-Libertarian,Right-Libertarian,Left-Libertarian,0.66
x-ai/grok-3-mini,mock-6,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,Right-Authoritarian,1.0
x-ai/grok-3-mini,mock-7,Right-Libertarian,Right-Libertarian,Neutral-Safety,Right-Libertarian,0.66
